Pannaria conoplea
Pannaria tavaresii
Parmelia fraudans
Parmelia omphalodes
Parmelia saxatilis
Parmelia squarrosa
Parmelia sulcata
Parmeliella triptophylla
Parmeliopsis ambigua
Parmeliopsis capitata
Parmeliopsis hyperopta
Parmotrema arnoldii
Parmotrema crinitum
Peltigera aphthosa
Peltigera canina
Peltigera didactyla
Peltigera elisabethae
Peltigera evansiana
Peltigera extenuata
Peltigera horizontalis
Peltigera lepidophora
Peltigera leucophlebia
Peltigera malacea
Peltigera membranacea
Peltigera neckeri
Peltigera neopolydactyla
Peltigera polydactylon
Peltigera praetextata
Peltigera rufescens
Peltigera venosa
Peltula bolanderi
Pertusaria consocians
**Pertusaria plittiana
Pertusaria subobducens
†Phaeocalicium compressulum
*†Phaeocalicium flabelliforme
†Phaeocalicium polyporaeum
†Phaeocalicium populneum
Phaeophyscia adiastola
Phaeophyscia ciliata
Phaeophyscia decolor
Phaeophyscia hirtella
Phaeophyscia hispidula
Phaeophyscia kairamoi
Phaeophyscia pusilloides
Phaeophyscia rubropulchra
Phaeophyscia sciastra
*#Phaeospora parasitica
Phlyctis argena
Phlyctis speirea
†Phylliscum demangeonii
Physcia adscendens
Physcia aipolia
Physcia caesia
Physcia dubia
Physcia millegrana
Physcia phaea
Physcia subalbinea
Physcia tenella
Physcia thomsoniana
Physconia detersa
Physconia enteroxantha
Physconia grumosa
Physconia muscigena
Physconia perisidiosa
Placopyrenium fuscellum
Placynthiella icmalea
Placynthiella oligotropha
Placynthiella uliginosa
Placynthium asperellum
Placynthium nigrum
Placynthium stenophyllum
Platismatia tuckermanii
#Plectocarpon lichenum
Polycauliona polycarpa
Polycauliona stellata
*#Polycoccum clauzadei
Porina scabrida
Porpidia crustulata
Porpidia macrocarpa
Porpidia speirea
Porpidia tuberculosa
Protoblastenia incrustans
Protoblastenia rupestris
Protopannaria pezizoides
Protoparmelia hypotremella
Protoparmeliopsis muralis
Protothelenella corrosa
Pseudevernia consocians
Pseudocyphellaria holarctica
Psilolechia lucida
Psora globifera
Psora pseudorussellii
Psora rubiformis
†Psorula rufonigra
**Pterygiopsis atra
Punctelia bolliana
Punctelia caseana
Punctelia rudecta
Punctelia stictica
Pycnora praestabilis
Pycnora sorophora
**#Pyrenidium aggregatum
Pyrenopsis polycocca
Pyxine sorediata
Ramalina americana
Ramalina dilacerata
Ramalina farinacea
Ramalina intermedia
Ramalina labiosorediata
Ramalina obtusata
Ramalina roesleri
Ramalina sinensis
Ramalina thrausta
Ramboldia elabens
Rhizocarpon badioatrum
Rhizocarpon cinereovirens
Rhizocarpon disporum
Rhizocarpon eupetraeum
Rhizocarpon geminatum
Rhizocarpon geographicum
Rhizocarpon grande
Rhizocarpon hochstetteri
Rhizocarpon infernulum
Rhizocarpon lecanorinum
Rhizocarpon macrosporum
Rhizocarpon polycarpum
Rhizocarpon reductum
Rhizocarpon rubescens
Rhizocarpon timdalii
*Rhizocarpon viridiatrum
Rhizoplaca chrysoleuca
Rhizoplaca melanophthalma
Rhizoplaca opiniconensis
Rhizoplaca subdiscrepans
Ricasolia quercizans
*Rimularia gibbosa
Rinodina archaea
Rinodina austroborealis
Rinodina colobina
Rinodina efflorescens
Rinodina freyi
Rinodina metaboliza
Rinodina populicola
Rinodina subpariata
Rinodina tenuis
Rinodina tephraspis
Ropalospora viridis
Rusavskia elegans
Rusavskia sorediata
Sarcogyne clavus
Sarcogyne hypophaea
Sarcogyne regularis
*†Sarea coeloplata
†Sarea difformis
Schaereria fuscocinerea
**#Sclerococcum amygdalariae
#Sclerococcum athallinum
*#Sclerococcum attendendum
*#Sclerococcum parasiticum
*Sclerophora amabilis
Sclerophora farinacea
Sclerophora nivea
Scoliciosporum chlorococcum
*Scoliciosporum intrusum
Scoliciosporum umbrinum
Scytinium lichenoides
Scytinium sp.
Scytinium tenuissimum
Scytinium teretiusculum
Solorina saccata
Solorina spongiosa
#Sphaerellothecium coniodes
*#Sphaerellothecium reticulatum
#Sphaerellothecium sp.
#Sphinctrina anglica
#Sphinctrina leucopoda
#Sphinctrina turbinata
Spilonema revertens
Spirographa fusisporella
**Sporodophoron americanum
Staurothele areolata
Staurothele drummondii
Staurothele fissa
†Stenocybe major
†Stenocybe pullatula
Stereocaulon dactylophyllum
Stereocaulon depreaultii
Stereocaulon glaucescens
Stereocaulon grande
***Stereocaulon modestum
Stereocaulon parasasakii
Stereocaulon paschale
Stereocaulon pileatum
Stereocaulon saxatile
Stereocaulon spp.
Stereocaulon tomentosum
Sticta canariensis
Sticta fuliginosa
*#Stigmidium squamariae
Strangospora pinicola
Strigula stigmatella
Thalloidima sedifolium
*Thelidium microsporum
Thelidium minutulum
Toniniopsis aromatica
Trapelia placodioides
Trapeliopsis flexuosa
Trapeliopsis granulosa
Trapeliopsis viridescens
#Tremella candelariellae
#Tremella cetrariicola
#Tremella everniae
*#Tremella nephromatis
Tremolecia atrata
Tuckermanopsis americana
Tuckermanopsis orbata
Umbilicaria americana
Umbilicaria arctica
Umbilicaria deusta
Umbilicaria hyperborea
Umbilicaria mammulata
Umbilicaria muhlenbergii
Umbilicaria torrefacta
Usnea cavernosa
Usnea dasopoga
Usnea hirta
Usnea longissima
Usnea perplexans
Usnea subfloridana
Usnocetraria oakesiana
Vahliella leucophaea
Varicellaria velata
Verrucaria cf.
**Verrucaria cf.
Verrucaria calkinsiana
*Verrucaria cf.
Verrucaria muralis
Verrucaria nigrescens
Vulpicida pinastri
Xanthocarpia feracissima
Xanthomendoza fallax
Xanthomendoza fulva
Xanthomendoza hasseana
Xanthoparmelia conspersa
Xanthoparmelia cumberlandia
Xanthoparmelia plittii
Xanthoparmelia viriduloumbrina
*#Xenonectriella sp.
Xylographa parallela
Xylopsora friesii
†Zythia resinae
